2025-11-19 09:32:49,851 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:32:49,852 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:32:49,852 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:32:49,852 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:32:49,853 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:32:49,853 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:32:49,855 [main] INFO  es.ciudadescolar.Main                    - Expediente 1: Alumno{expediente=1, nombre=Paco, edad=12}
2025-11-19 09:32:49,860 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=1, nombre=Paco, edad=12}} eliminado.
2025-11-19 09:32:49,860 [main] INFO  es.ciudadescolar.Main                    - Despues de borrar el alumno con expediente 1
2025-11-19 09:32:49,861 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:32:49,861 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:32:49,862 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=2, nombre=Andres, edad=13}
2025-11-19 09:32:49,862 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=3, nombre=Manu, edad=11}
2025-11-19 09:32:49,862 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=2, nombre=Andres, edad=13}} eliminado.
2025-11-19 09:32:49,863 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=3, nombre=Manu, edad=11}} eliminado.
2025-11-19 09:32:49,863 [main] INFO  es.ciudadescolar.Main                    - Despues de borrar todos los alumnos
2025-11-19 09:32:49,863 [main] WARN  es.ciudadescolar.Util.Bbddoo             - No se han recuperado alumnos de la base de datos.
2025-11-19 09:32:49,863 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=4, nombre=Lucia, edad=14}} guardado.
2025-11-19 09:32:49,864 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno {Alumno{expediente=5, nombre=Marta, edad=12}} guardado.
2025-11-19 09:32:49,865 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno modificado: Alumno{expediente=5, nombre=Marta, edad=18}
2025-11-19 09:32:49,865 [main] INFO  es.ciudadescolar.Main                    - Despues de modificar la edad de Marta
2025-11-19 09:32:49,865 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=4, nombre=Lucia, edad=14}
2025-11-19 09:32:49,865 [main] INFO  es.ciudadescolar.Util.Bbddoo             - Alumno recuperado: Alumno{expediente=5, nombre=Marta, edad=18}
